product_id,name,category,price
1,Multi-layered intermediate initiative,Books,60.11
2,User-friendly leadingedge info-mediaries,Books,141.14
3,Mandatory contextually-based methodology,Home & Kitchen,74.07
4,Team-oriented modular hub,Electronics,339.97
5,Programmable encompassing website,Sports,48.03
6,Configurable upward-trending interface,Beauty,20.73
7,Configurable intermediate portal,Electronics,113.23
8,Enterprise-wide needs-based frame,Sports,303.0
9,Inverse bi-directional artificial intelligence,Sports,103.42
10,Inverse stable frame,Books,352.16
11,Integrated local portal,Beauty,114.12
12,Universal interactive concept,Sports,142.7
13,Team-oriented leadingedge hardware,Toys,8.22
14,Organized 6thgeneration superstructure,Toys,84.03
15,Multi-channeled reciprocal Internet solution,Beauty,173.42
16,Grass-roots scalable utilization,Home & Kitchen,111.58
17,Centralized asynchronous secured line,Toys,171.61
18,Sharable impactful hierarchy,Electronics,193.06
19,Profound value-added service-desk,Fashion,424.51
20,Diverse 4thgeneration circuit,Sports,135.94
21,Robust systematic toolset,Electronics,366.22
22,Organic 5thgeneration capacity,Sports,66.79
23,Cloned disintermediate time-frame,Beauty,44.01
24,Stand-alone high-level hierarchy,Fashion,415.56
25,Networked non-volatile alliance,Sports,443.3
26,Robust coherent service-desk,Fashion,290.79
27,Organized holistic hub,Books,39.43
28,Organic well-modulated archive,Books,117.81
29,Re-engineered client-driven moderator,Fashion,492.68
30,Multi-lateral hybrid functionalities,Toys,120.23
31,Streamlined even-keeled encryption,Electronics,193.16
32,Customizable 4thgeneration support,Beauty,319.66
33,Enterprise-wide modular model,Fashion,85.51
34,Networked next generation capability,Fashion,108.71
35,Fundamental zero-defect firmware,Fashion,352.4
36,Triple-buffered local data-warehouse,Books,325.78
37,Seamless executive solution,Sports,319.31
38,Pre-emptive dedicated capability,Sports,365.92
39,Devolved asynchronous knowledge user,Home & Kitchen,233.82
40,Enhanced transitional intranet,Fashion,494.81
41,Cross-group systemic functionalities,Books,345.64
42,Synchronized grid-enabled strategy,Home & Kitchen,343.88
43,Cloned neutral moratorium,Toys,385.32
44,Implemented exuding complexity,Electronics,118.38
45,Universal tertiary standardization,Electronics,403.5
46,Sharable context-sensitive utilization,Beauty,137.53
47,Multi-lateral multimedia definition,Home & Kitchen,457.0
48,Decentralized dedicated utilization,Sports,438.8
49,Devolved disintermediate utilization,Fashion,110.25
50,Proactive 4thgeneration hierarchy,Beauty,200.84
51,Reactive object-oriented hub,Books,232.13
52,Persistent neutral capacity,Fashion,74.12
53,Seamless background architecture,Books,282.88
54,Integrated hybrid structure,Fashion,374.77
55,Up-sized mission-critical moderator,Beauty,449.42
56,Open-source zero administration installation,Beauty,184.19
57,Re-engineered asynchronous capacity,Home & Kitchen,257.22
58,Intuitive secondary archive,Electronics,379.11
59,Organized maximized software,Toys,59.28
60,Programmable grid-enabled capacity,Books,84.19
61,Vision-oriented neutral productivity,Books,213.97
62,Reverse-engineered contextually-based throughput,Electronics,195.46
63,De-engineered intermediate middleware,Sports,498.08
64,Centralized bottom-line model,Sports,129.45
65,Distributed exuding concept,Sports,431.09
66,Diverse fresh-thinking strategy,Electronics,341.74
67,Face-to-face grid-enabled model,Electronics,342.45
68,Horizontal attitude-oriented extranet,Sports,376.68
69,Exclusive scalable neural-net,Toys,322.28
70,Grass-roots clear-thinking product,Electronics,150.28
71,Innovative reciprocal monitoring,Home & Kitchen,229.59
72,Cross-group motivating project,Books,438.55
73,Down-sized optimizing paradigm,Fashion,486.08
74,Distributed composite protocol,Toys,93.43
75,Secured uniform portal,Electronics,435.91
76,Mandatory non-volatile analyzer,Fashion,421.63
77,Assimilated attitude-oriented analyzer,Sports,306.44
78,Stand-alone zero administration orchestration,Home & Kitchen,190.09
79,Fundamental solution-oriented database,Home & Kitchen,271.99
80,Visionary object-oriented instruction set,Toys,461.6
81,Secured scalable algorithm,Electronics,301.48
82,Proactive responsive moratorium,Beauty,14.64
83,Implemented secondary framework,Fashion,439.97
84,Polarized dynamic workforce,Toys,404.35
85,Synergized impactful framework,Home & Kitchen,33.67
86,Persevering asynchronous solution,Sports,473.74
87,Centralized cohesive intranet,Electronics,367.29
88,Operative mission-critical Local Area Network,Toys,39.26
89,Expanded global portal,Toys,268.69
90,Digitized foreground structure,Home & Kitchen,68.55
91,Intuitive upward-trending hardware,Beauty,473.69
92,Open-architected clear-thinking task-force,Home & Kitchen,136.2
93,Multi-layered multimedia open architecture,Toys,305.26
94,Customer-focused foreground encoding,Home & Kitchen,464.81
95,Persistent bottom-line flexibility,Toys,366.32
96,Organized dynamic circuit,Home & Kitchen,357.91
97,Cross-platform actuating frame,Beauty,497.6
98,Networked reciprocal instruction set,Books,189.84
99,Fully-configurable cohesive Graphic Interface,Sports,228.49
100,Re-engineered uniform functionalities,Home & Kitchen,116.23
101,Ergonomic well-modulated complexity,Fashion,15.41
102,Proactive multimedia Local Area Network,Sports,118.91
103,Proactive fault-tolerant methodology,Home & Kitchen,8.56
104,Ameliorated background infrastructure,Books,317.4
105,Profit-focused logistical encoding,Home & Kitchen,38.36
106,Extended optimal help-desk,Electronics,430.52
107,Business-focused actuating forecast,Electronics,259.51
108,Proactive radical projection,Fashion,336.14
109,Synergistic methodical forecast,Home & Kitchen,271.92
110,Public-key 24/7 benchmark,Books,468.08
111,Optional client-driven firmware,Sports,290.22
112,Upgradable high-level task-force,Home & Kitchen,393.39
113,Open-architected high-level analyzer,Toys,206.49
114,Open-architected actuating open system,Electronics,52.98
115,Realigned content-based hierarchy,Beauty,180.38
116,Reactive executive archive,Beauty,236.18
117,Networked motivating knowledge user,Books,31.81
118,Virtual neutral focus group,Books,492.16
119,Secured systemic pricing structure,Electronics,35.0
120,Decentralized clear-thinking attitude,Books,172.95
121,Object-based holistic utilization,Toys,59.09
122,Mandatory next generation hierarchy,Home & Kitchen,99.15
123,Versatile client-server customer loyalty,Beauty,74.39
124,Robust multimedia initiative,Home & Kitchen,142.88
125,Profit-focused 6thgeneration analyzer,Home & Kitchen,437.87
126,Automated client-driven structure,Electronics,224.35
127,Managed methodical model,Toys,428.7
128,Persevering coherent portal,Electronics,30.04
129,Profound client-driven Graphic Interface,Sports,418.83
130,Seamless foreground complexity,Electronics,463.55
131,Object-based reciprocal support,Toys,122.01
132,Innovative optimizing Graphical User Interface,Beauty,245.39
133,Profit-focused multimedia monitoring,Home & Kitchen,433.0
134,Pre-emptive tertiary open system,Electronics,86.5
135,Innovative methodical adapter,Electronics,492.73
136,Multi-layered full-range service-desk,Fashion,463.63
137,Customizable intangible paradigm,Toys,230.23
138,Integrated uniform solution,Beauty,349.81
139,Self-enabling 4thgeneration policy,Books,497.73
140,Phased empowering projection,Sports,332.63
141,Vision-oriented optimal orchestration,Beauty,81.62
142,Focused uniform application,Fashion,112.76
143,Reduced mission-critical concept,Electronics,291.69
144,Progressive responsive success,Sports,35.17
145,Secured zero-defect implementation,Fashion,33.3
146,Digitized systemic encryption,Sports,241.01
147,Automated object-oriented standardization,Toys,267.91
148,Customizable content-based adapter,Electronics,480.59
149,Organic foreground instruction set,Electronics,426.41
150,Distributed incremental solution,Electronics,299.54
151,Expanded incremental middleware,Books,431.6
152,Vision-oriented reciprocal leverage,Beauty,64.34
153,User-centric upward-trending approach,Sports,126.88
154,Triple-buffered client-driven model,Sports,24.67
155,Expanded next generation Graphic Interface,Electronics,212.52
156,Switchable mission-critical moderator,Sports,284.79
157,Multi-tiered foreground conglomeration,Fashion,467.68
158,Persevering national Graphical User Interface,Home & Kitchen,336.51
159,Quality-focused heuristic service-desk,Fashion,123.15
160,Visionary uniform software,Beauty,69.78
161,Stand-alone system-worthy firmware,Books,153.5
162,Seamless mission-critical core,Fashion,464.86
163,Fully-configurable even-keeled open architecture,Electronics,9.61
164,Innovative directional framework,Sports,499.23
165,Visionary executive strategy,Electronics,41.26
166,Expanded system-worthy strategy,Home & Kitchen,255.41
167,Pre-emptive foreground matrices,Home & Kitchen,466.96
168,Monitored next generation utilization,Electronics,440.24
169,Up-sized even-keeled forecast,Fashion,146.07
170,Decentralized object-oriented service-desk,Beauty,417.7
171,Quality-focused homogeneous infrastructure,Books,154.75
172,Monitored zero administration website,Toys,328.72
173,Digitized explicit analyzer,Electronics,335.59
174,Horizontal transitional artificial intelligence,Sports,153.19
175,Monitored leadingedge projection,Books,56.28
176,Function-based value-added matrices,Home & Kitchen,135.91
177,Extended dedicated monitoring,Electronics,372.5
178,Future-proofed next generation standardization,Home & Kitchen,139.81
179,Future-proofed client-driven benchmark,Sports,109.26
180,Seamless user-facing parallelism,Fashion,105.78
181,Front-line dynamic application,Books,427.19
182,Synchronized multi-tasking definition,Sports,246.82
183,Sharable discrete application,Toys,30.15
184,Cross-platform incremental groupware,Books,214.67
185,Universal methodical attitude,Fashion,26.82
186,Synergized zero administration challenge,Fashion,386.7
187,Adaptive neutral complexity,Books,490.0
188,Open-source solution-oriented leverage,Home & Kitchen,371.91
189,Polarized solution-oriented customer loyalty,Sports,354.31
190,Versatile executive Graphic Interface,Sports,9.79
191,Horizontal secondary approach,Electronics,472.8
192,Visionary background projection,Books,452.44
193,Re-engineered discrete monitoring,Sports,22.83
194,User-centric uniform alliance,Fashion,293.34
195,Enhanced intangible conglomeration,Home & Kitchen,217.74
196,Automated hybrid toolset,Electronics,157.59
197,Proactive contextually-based synergy,Toys,486.24
198,Implemented 5thgeneration access,Electronics,449.97
199,Innovative non-volatile portal,Home & Kitchen,342.62
200,Customer-focused full-range forecast,Books,55.88
